# KaDE -l 6 --count Occurrences ode.4.12.2.ka --output ode.4.12.2 --output-plot ../data/ode.4.12.2.data
# [T] mono dimer q1 q2 
4.090000 1.500000 2.250000 0.999004 1.998009 
4.100000 1.500000 2.250000 0.999024 1.998048 
4.110000 1.500000 2.250000 0.999043 1.998087 
4.120000 1.500000 2.250000 0.999062 1.998125 
4.130000 1.500000 2.250000 0.999081 1.998162 
4.140000 1.500000 2.250000 0.999099 1.998198 
4.150000 1.500000 2.250000 0.999117 1.998234 
4.160000 1.500000 2.250000 0.999134 1.998269 
4.170000 1.500000 2.250000 0.999152 1.998303 
4.180000 1.500000 2.250000 0.999168 1.998337 
4.190000 1.500000 2.250000 0.999185 1.998370 
4.200000 1.500000 2.250000 0.999201 1.998402 
4.210000 1.500000 2.250000 0.999217 1.998434 
4.220000 1.500000 2.250000 0.999232 1.998465 
4.230000 1.500000 2.250000 0.999247 1.998495 
4.240000 1.500000 2.250000 0.999262 1.998525 
4.250000 1.500000 2.250000 0.999277 1.998554 
4.260000 1.500000 2.250000 0.999291 1.998583 
4.270000 1.500000 2.250000 0.999305 1.998611 
4.280000 1.500000 2.250000 0.999319 1.998638 
4.290000 1.500000 2.250000 0.999333 1.998665 
4.300000 1.500000 2.250000 0.999346 1.998691 
4.310000 1.500000 2.250000 0.999359 1.998717 
4.320000 1.500000 2.250000 0.999371 1.998743 
4.330000 1.500000 2.250000 0.999384 1.998768 
4.340000 1.500000 2.250000 0.999396 1.998792 
4.350000 1.500000 2.250000 0.999408 1.998816 
4.360000 1.500000 2.250000 0.999420 1.998839 
4.370000 1.500000 2.250000 0.999431 1.998862 
4.380000 1.500000 2.250000 0.999442 1.998885 
4.390000 1.500000 2.250000 0.999453 1.998907 
4.400000 1.500000 2.250000 0.999464 1.998929 
4.410000 1.500000 2.250000 0.999475 1.998950 
4.420000 1.500000 2.250000 0.999485 1.998971 
4.430000 1.500000 2.250000 0.999495 1.998991 
4.440000 1.500000 2.250000 0.999505 1.999011 
4.450000 1.500000 2.250000 0.999515 1.999030 
4.460000 1.500000 2.250000 0.999525 1.999050 
4.470000 1.500000 2.250000 0.999534 1.999069 
4.480000 1.500000 2.250000 0.999543 1.999087 
4.490000 1.500000 2.250000 0.999553 1.999105 
4.500000 1.500000 2.250000 0.999561 1.999123 
4.510000 1.500000 2.250000 0.999570 1.999140 
4.520000 1.500000 2.250000 0.999579 1.999157 
4.530000 1.500000 2.250000 0.999587 1.999174 
4.540000 1.500000 2.250000 0.999595 1.999190 
4.550000 1.500000 2.250000 0.999603 1.999206 
4.560000 1.500000 2.250000 0.999611 1.999222 
4.570000 1.500000 2.250000 0.999619 1.999237 
4.580000 1.500000 2.250000 0.999626 1.999252 
4.590000 1.500000 2.250000 0.999634 1.999267 
4.600000 1.500000 2.250000 0.999641 1.999282 
4.610000 1.500000 2.250000 0.999648 1.999296 
4.620000 1.500000 2.250000 0.999655 1.999310 
4.630000 1.500000 2.250000 0.999662 1.999324 
4.640000 1.500000 2.250000 0.999668 1.999337 
4.650000 1.500000 2.250000 0.999675 1.999350 
4.660000 1.500000 2.250000 0.999681 1.999363 
4.670000 1.500000 2.250000 0.999688 1.999376 
4.680000 1.500000 2.250000 0.999694 1.999388 
4.690000 1.500000 2.250000 0.999700 1.999400 
4.700000 1.500000 2.250000 0.999706 1.999412 
4.710000 1.500000 2.250000 0.999712 1.999424 
4.720000 1.500000 2.250000 0.999717 1.999435 
4.730000 1.500000 2.250000 0.999723 1.999446 
4.740000 1.500000 2.250000 0.999729 1.999457 
4.750000 1.500000 2.250000 0.999734 1.999468 
4.760000 1.500000 2.250000 0.999739 1.999478 
4.770000 1.500000 2.250000 0.999744 1.999489 
4.780000 1.500000 2.250000 0.999749 1.999499 
4.790000 1.500000 2.250000 0.999754 1.999509 
4.800000 1.500000 2.250000 0.999759 1.999518 
4.810000 1.500000 2.250000 0.999764 1.999528 
4.820000 1.500000 2.250000 0.999769 1.999537 
4.830000 1.500000 2.250000 0.999773 1.999547 
4.840000 1.500000 2.250000 0.999778 1.999555 
4.850000 1.500000 2.250000 0.999782 1.999564 
4.860000 1.500000 2.250000 0.999786 1.999573 
4.870000 1.500000 2.250000 0.999791 1.999581 
4.880000 1.500000 2.250000 0.999795 1.999590 
4.890000 1.500000 2.250000 0.999799 1.999598 
4.900000 1.500000 2.250000 0.999803 1.999606 
4.910000 1.500000 2.250000 0.999807 1.999614 
4.920000 1.500000 2.250000 0.999811 1.999621 
4.930000 1.500000 2.250000 0.999814 1.999629 
4.940000 1.500000 2.250000 0.999818 1.999636 
4.950000 1.500000 2.250000 0.999822 1.999643 
4.960000 1.500000 2.250000 0.999825 1.999650 
4.970000 1.500000 2.250000 0.999829 1.999657 
4.980000 1.500000 2.250000 0.999832 1.999664 
4.990000 1.500000 2.250000 0.999835 1.999671 
5.000000 1.500000 2.250000 0.999839 1.999677 
5.010000 1.500000 2.250000 0.999842 1.999684 
5.020000 1.500000 2.250000 0.999845 1.999690 
5.030000 1.500000 2.250000 0.999848 1.999696 
5.040000 1.500000 2.250000 0.999851 1.999702 
5.050000 1.500000 2.250000 0.999854 1.999708 
5.060000 1.500000 2.250000 0.999857 1.999714 
5.070000 1.500000 2.250000 0.999860 1.999719 
5.080000 1.500000 2.250000 0.999862 1.999725 
5.090000 1.500000 2.250000 0.999865 1.999730 
5.100000 1.500000 2.250000 0.999868 1.999736 
5.110000 1.500000 2.250000 0.999870 1.999741 
5.120000 1.500000 2.250000 0.999873 1.999746 
5.130000 1.500000 2.250000 0.999876 1.999751 
5.140000 1.500000 2.250000 0.999878 1.999756 
5.150000 1.500000 2.250000 0.999880 1.999761 
5.160000 1.500000 2.250000 0.999883 1.999766 
5.170000 1.500000 2.250000 0.999885 1.999770 
5.180000 1.500000 2.250000 0.999887 1.999775 
5.190000 1.500000 2.250000 0.999890 1.999779 
5.200000 1.500000 2.250000 0.999892 1.999784 
5.210000 1.500000 2.250000 0.999894 1.999788 
5.220000 1.500000 2.250000 0.999896 1.999792 
5.230000 1.500000 2.250000 0.999898 1.999796 
5.240000 1.500000 2.250000 0.999900 1.999800 
5.250000 1.500000 2.250000 0.999902 1.999804 
