# KaDE -l 6 --count Occurrences ode.4.12.1.ka --output ode.4.12.1 --output-plot ../data/ode.4.12.1.data
# [T],mono,dimer,q1,q2,
3.710000,1.500000,2.250000,1.000000,2.000000,
3.720000,1.500000,2.250000,1.000000,2.000000,
3.730000,1.500000,2.250000,1.000000,2.000000,
3.740000,1.500000,2.250000,1.000000,2.000000,
3.750000,1.500000,2.250000,1.000000,2.000000,
3.760000,1.500000,2.250000,1.000000,2.000000,
3.770000,1.500000,2.250000,1.000000,2.000000,
3.780000,1.500000,2.250000,1.000000,2.000000,
3.790000,1.500000,2.250000,1.000000,2.000000,
3.800000,1.500000,2.250000,1.000000,2.000000,
3.810000,1.500000,2.250000,1.000000,2.000000,
3.820000,1.500000,2.250000,1.000000,2.000000,
3.830000,1.500000,2.250000,1.000000,2.000000,
3.840000,1.500000,2.250000,1.000000,2.000000,
3.850000,1.500000,2.250000,1.000000,2.000000,
3.860000,1.500000,2.250000,1.000000,2.000000,
3.870000,1.500000,2.250000,1.000000,2.000000,
3.880000,1.500000,2.250000,1.000000,2.000000,
3.890000,1.500000,2.250000,1.000000,2.000000,
3.900000,1.500000,2.250000,1.000000,2.000000,
3.910000,1.500000,2.250000,1.000000,2.000000,
3.920000,1.500000,2.250000,1.000000,2.000000,
3.930000,1.500000,2.250000,1.000000,2.000000,
3.940000,1.500000,2.250000,1.000000,2.000000,
3.950000,1.500000,2.250000,1.000000,2.000000,
3.960000,1.500000,2.250000,1.000000,2.000000,
3.970000,1.500000,2.250000,1.000000,2.000000,
3.980000,1.500000,2.250000,1.000000,2.000000,
3.990000,1.500000,2.250000,1.000000,2.000000,
4.000000,1.500000,2.250000,1.000000,2.000000,
4.010000,1.500000,2.250000,1.000000,2.000000,
4.020000,1.500000,2.250000,1.000000,2.000000,
4.030000,1.500000,2.250000,1.000000,2.000000,
4.040000,1.500000,2.250000,1.000000,2.000000,
4.050000,1.500000,2.250000,1.000000,2.000000,
4.060000,1.500000,2.250000,1.000000,2.000000,
4.070000,1.500000,2.250000,1.000000,2.000000,
4.080000,1.500000,2.250000,1.000000,2.000000,
4.090000,1.500000,2.250000,1.000000,2.000000,
4.100000,1.500000,2.250000,1.000000,2.000000,
4.110000,1.500000,2.250000,1.000000,2.000000,
4.120000,1.500000,2.250000,1.000000,2.000000,
4.130000,1.500000,2.250000,1.000000,2.000000,
4.140000,1.500000,2.250000,1.000000,2.000000,
4.150000,1.500000,2.250000,1.000000,2.000000,
4.160000,1.500000,2.250000,1.000000,2.000000,
4.170000,1.500000,2.250000,1.000000,2.000000,
4.180000,1.500000,2.250000,1.000000,2.000000,
4.190000,1.500000,2.250000,1.000000,2.000000,
4.200000,1.500000,2.250000,1.000000,2.000000,
4.210000,1.500000,2.250000,1.000000,2.000000,
