# KaDE -l 6 --count Occurrences ode.4.12.4.ka --output ode.4.12.4 --output-plot ../data/ode.4.12.4.data
# [T] mono dimer q1 q2
4.900000 1.694254 2.152873 1.000000 1.000000
4.910000 1.694254 2.152873 1.000000 1.000000
4.920000 1.694254 2.152873 1.000000 1.000000
4.930000 1.694254 2.152873 1.000000 1.000000
4.940000 1.694254 2.152873 1.000000 1.000000
4.950000 1.694254 2.152873 1.000000 1.000000
4.960000 1.694254 2.152873 1.000000 1.000000
4.970000 1.694254 2.152873 1.000000 1.000000
4.980000 1.694254 2.152873 1.000000 1.000000
4.990000 1.694254 2.152873 1.000000 1.000000
5.000000 1.694254 2.152873 1.000000 1.000000
5.010000 1.694254 2.152873 1.000000 1.000000
5.020000 1.694254 2.152873 1.000000 1.000000
5.030000 1.694254 2.152873 1.000000 1.000000
5.040000 1.694254 2.152873 1.000000 1.000000
5.050000 1.694254 2.152873 1.000000 1.000000
5.060000 1.694254 2.152873 1.000000 1.000000
5.070000 1.694254 2.152873 1.000000 1.000000
5.080000 1.694254 2.152873 1.000000 1.000000
5.090000 1.694254 2.152873 1.000000 1.000000
5.100000 1.694254 2.152873 1.000000 1.000000
5.110000 1.694254 2.152873 1.000000 1.000000
5.120000 1.694254 2.152873 1.000000 1.000000
5.130000 1.694254 2.152873 1.000000 1.000000
5.140000 1.694254 2.152873 1.000000 1.000000
5.150000 1.694254 2.152873 1.000000 1.000000
5.160000 1.694254 2.152873 1.000000 1.000000
5.170000 1.694254 2.152873 1.000000 1.000000
5.180000 1.694254 2.152873 1.000000 1.000000
5.190000 1.694254 2.152873 1.000000 1.000000
5.200000 1.694254 2.152873 1.000000 1.000000
5.210000 1.694254 2.152873 1.000000 1.000000
5.220000 1.694254 2.152873 1.000000 1.000000
5.230000 1.694254 2.152873 1.000000 1.000000
5.240000 1.694254 2.152873 1.000000 1.000000
5.250000 1.694254 2.152873 1.000000 1.000000
5.260000 1.694254 2.152873 1.000000 1.000000
5.270000 1.694254 2.152873 1.000000 1.000000
5.280000 1.694254 2.152873 1.000000 1.000000
5.290000 1.694254 2.152873 1.000000 1.000000
5.300000 1.694254 2.152873 1.000000 1.000000
5.310000 1.694254 2.152873 1.000000 1.000000
5.320000 1.694254 2.152873 1.000000 1.000000
5.330000 1.694254 2.152873 1.000000 1.000000
5.340000 1.694254 2.152873 1.000000 1.000000
5.350000 1.694254 2.152873 1.000000 1.000000
5.360000 1.694254 2.152873 1.000000 1.000000
5.370000 1.694254 2.152873 1.000000 1.000000
5.380000 1.694254 2.152873 1.000000 1.000000
5.390000 1.694254 2.152873 1.000000 1.000000
5.400000 1.694254 2.152873 1.000000 1.000000
5.410000 1.694254 2.152873 1.000000 1.000000
5.420000 1.694254 2.152873 1.000000 1.000000
5.430000 1.694254 2.152873 1.000000 1.000000
5.440000 1.694254 2.152873 1.000000 1.000000
5.450000 1.694254 2.152873 1.000000 1.000000
5.460000 1.694254 2.152873 1.000000 1.000000
5.470000 1.694254 2.152873 1.000000 1.000000
