# KaDE -l 6 --count Occurrences kappa/ode.4.12.3.red.ka --output kappa/ode.4.12.3.red --output-plot ../data/ode.4.12.3.red.data
# [T] A |A.x-x| 
4.560000 1.174221 2.412890 
4.570000 1.174221 2.412890 
4.580000 1.174221 2.412890 
4.590000 1.174221 2.412890 
4.600000 1.174221 2.412890 
4.610000 1.174221 2.412890 
4.620000 1.174221 2.412890 
4.630000 1.174221 2.412890 
4.640000 1.174221 2.412890 
4.650000 1.174221 2.412890 
4.660000 1.174221 2.412890 
4.670000 1.174221 2.412890 
4.680000 1.174221 2.412890 
4.690000 1.174221 2.412890 
4.700000 1.174221 2.412890 
4.710000 1.174221 2.412890 
4.720000 1.174221 2.412890 
4.730000 1.174221 2.412890 
4.740000 1.174221 2.412890 
4.750000 1.174221 2.412890 
4.760000 1.174221 2.412890 
4.770000 1.174221 2.412890 
4.780000 1.174221 2.412890 
4.790000 1.174221 2.412890 
4.800000 1.174221 2.412890 
4.810000 1.174221 2.412890 
4.820000 1.174221 2.412890 
4.830000 1.174221 2.412890 
4.840000 1.174221 2.412890 
4.850000 1.174221 2.412890 
4.860000 1.174221 2.412890 
4.870000 1.174221 2.412890 
4.880000 1.174221 2.412890 
4.890000 1.174221 2.412890 
4.900000 1.174221 2.412890 
4.910000 1.174221 2.412890 
4.920000 1.174221 2.412890 
4.930000 1.174221 2.412890 
4.940000 1.174221 2.412890 
4.950000 1.174221 2.412890 
4.960000 1.174221 2.412890 
4.970000 1.174221 2.412890 
4.980000 1.174221 2.412890 
4.990000 1.174221 2.412890 
5.000000 1.174221 2.412890 
5.010000 1.174221 2.412890 
5.020000 1.174221 2.412890 
5.030000 1.174221 2.412890 
5.040000 1.174221 2.412890 
5.050000 1.174221 2.412890 
5.060000 1.174221 2.412890 
5.070000 1.174221 2.412890 
5.080000 1.174221 2.412890 
5.090000 1.174221 2.412890 
5.100000 1.174221 2.412890 
5.110000 1.174221 2.412890 
5.120000 1.174221 2.412890 
5.130000 1.174221 2.412890 
5.140000 1.174221 2.412890 
5.150000 1.174221 2.412890 
5.160000 1.174221 2.412890 
5.170000 1.174221 2.412890 
5.180000 1.174221 2.412890 
5.190000 1.174221 2.412890 
5.200000 1.174221 2.412890 
5.210000 1.174221 2.412890 
5.220000 1.174221 2.412890 
5.230000 1.174221 2.412890 
5.240000 1.174221 2.412890 
5.250000 1.174221 2.412890 
5.260000 1.174221 2.412890 
5.270000 1.174221 2.412890 
5.280000 1.174221 2.412890 
5.290000 1.174221 2.412890 
5.300000 1.174221 2.412890 
5.310000 1.174221 2.412890 
5.320000 1.174221 2.412890 
5.330000 1.174221 2.412890 
5.340000 1.174221 2.412890 
5.350000 1.174221 2.412890 
5.360000 1.174221 2.412890 
5.370000 1.174221 2.412890 
5.380000 1.174221 2.412890 
5.390000 1.174221 2.412890 
5.400000 1.174221 2.412890 
5.410000 1.174221 2.412890 
5.420000 1.174221 2.412890 
5.430000 1.174221 2.412890 
5.440000 1.174221 2.412890 
5.450000 1.174221 2.412890 
5.460000 1.174221 2.412890 
5.470000 1.174221 2.412890 
5.480000 1.174221 2.412890 
5.490000 1.174221 2.412890 
5.500000 1.174221 2.412890 
5.510000 1.174221 2.412890 
5.520000 1.174221 2.412890 
5.530000 1.174221 2.412890 
5.540000 1.174221 2.412890 
5.550000 1.174221 2.412890 
5.560000 1.174221 2.412890 
5.570000 1.174221 2.412890 
5.580000 1.174221 2.412890 
5.590000 1.174221 2.412890 
5.600000 1.174221 2.412890 
5.610000 1.174221 2.412890 
5.620000 1.174221 2.412890 
5.630000 1.174221 2.412890 
5.640000 1.174221 2.412890 
5.650000 1.174221 2.412890 
5.660000 1.174221 2.412890 
5.670000 1.174221 2.412890 
5.680000 1.174221 2.412890 
5.690000 1.174221 2.412890 
5.700000 1.174221 2.412890 
5.710000 1.174221 2.412890 
5.720000 1.174221 2.412890 
5.730000 1.174221 2.412890 
